"Bolt","Diameter",,"1/2","5/8","3/4","7/8","1","1 1/8","1 1/4","1 3/8","1 1/2"
,"Width Across Flats","F","7/8","1 1/16","1 1/4","1 7/16","1 5/8","1 13/16","2","2 3/16","2 3/8"
,"Height","H","5/16","25/64","15/32","35/64","39/64","11/16","25/32","27/32","15/16"
,"Thread Length",,"1","1 1/4","1 3/8","1 1/2","1 3/4","2","2","2 1/4","2 1/4"
,"Base Length",,"11/16","7/8","1","1 1/8","1 1/4","1 1/2","1 5/8","1 3/4","1 7/8"
"Nut","Width Across Flats","W","7/8","1 1/16","1 1/4","1 7/16","1 5/8","1 13/16","2","2 3/16","2 3/8"
,"Height","H","31/64","39/64","47/64","55/64","63/64","1 7/64","1 7/32","1 11/32","1 15/32"
"Circular Washer","Outside Diameter","OD","1 1/16","1 5/16","1 15/32","1 3/4","2","2 1/4","2 1/2","2 3/4","3"
,"Inside Diameter","ID","17/32","11/16","13/16","15/16","1 1/8","1 1/4","1 3/8","1 1/2","1 5/8"
,"Min Thickness","T","0.097","0.122","0.122","0.136","0.136","0.136","0.136","0.136","0.136"
,"Max Thickness","T","0.177","0.177","0.177","0.177","0.177","0.177","0.177","0.177","0.177"
,"Min Edge Distance","E","7/16","9/16","21/32","25/32","7/8","1","1 3/32","1 7/32","1 5/16"
"Square Washer","Min Side Dimension","A","1 3/4","1 3/4","1 3/4","1 3/4","1 3/4","2 1/4","2 1/4","2 1/4","2 1/4"
,"Mean Thickness","T","5/16","5/16","5/16","5/16","5/16","5/16","5/16","5/16","5/16"
,"Taper In Thickness",,"2:12","2:12","2:12","2:12","2:12","2:12","2:12","2:12","2:12"
,"Min Edge Distance","E","7/16","9/16","21/32","25/32","7/8","1","1 3/32","1 7/32","1 5/16"
,"Inside Diameter","ID","17/32","11/16","13/16","15/16","1 1/8","1 1/4","1 3/8","1 1/2","1 5/8"
